full_text,value
"['nal', 'kabuni', 'puspen', 'tni', 'tniau', 'tniad', 'tnial', 'eee', 'mamaee', 'pung', 'bahasa', 'apa', 'trada', 'jaga', 'lai', 'kaaa', 'dong', 'aparat', 'jang', 'sembarang', 'pung', 'bicaraa', 'mamaee']",HOAX
"['cyko', 'as', 'coky', 'tvonenews', 'puspen', 'tni', 'kalau', 'isi', 'berita', 'sebut', 'keluar', 'nyata', 'amat', 'militer', 'nama', 'selamet', 'ginting']",HOAX
"['kumpar', 'sudah', 'tua', 'suka', 'bohong', 'tanya', 'ngapian', 'datang', 'mabes', 'tni']",HOAX
"['tvonenews', 'benar', 'banyak', 'badut', 'negara', 'kemenhan', 'beri', 'nilai', 'rendah', 'rakyat', 'perwira', 'tni', 'ngamuk', 'ngamuknya', 'lewat', 'amat']",HOAX
"['pierreicon', 'tokiemien', 'vivacoid', 'senangkep', 'nilai', 'kerja', 'pak', 'prabowonya', 'justru', 'pak', 'anies', 'nanyain', 'sejahtera', 'tni', 'situ', 'knp', 'banyak', 'bom', 'punya', 'rumah', 'itu', 'tanda', 'sejahtera', 'gimn', 'tpi', 'jawab', 'sama', 'pak', 'prabowo', 'malah', 'hakim', 'abis', 'ama', 'anggotatni', 'sendiri']",HOAX
"['ahy', 'sebut', 'partai', 'demokrat', 'serius', 'juang', 'sejahtera', 'tni', 'httpstcoinsxavg']",HOAX
"['edicte', 'merr', 'tni']",HOAX
"['vivacoid', 'pasal', 'ayat', 'urus', 'kerah', 'kekuaatan', 'tni', 'bawah', 'presiden', 'untuk', 'bijak', 'strategi', 'tahan', 'administrasi', 'bawah', 'kemenhan', 'jadi', 'wajar', 'tni', 'singgung', 'krn', 'tni', 'bagi', 'kemenhan', 'httpstcoqyjltzrk']",HOAX
"['asn', 'prajurit', 'tni', 'anggota', 'polri', 'demosi', 'krn', 'netral', 'akan', 'kembali', 'posisi', 'anies', 'menang', 'netralitas', 'sikap', 'hormat', 'ksatria', 'salah', 'satu', 'modal', 'negara', 'kuat', 'kemendagri', 'ri', 'tni', 'ad', 'tniau', 'tnial', 'puspen', 'tni', 'indo', 'pol', 'listyosigitp', 'titokarnavian']",HOAX
"['tadi', 'apa', 'kata', 'eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'soal', 'nilai', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['pasal', 'dudung', 'jadi', 'ksad', 'jenderal', 'bintang', 'sebut', 'nilai', 'butuh', 'rumah', 'dinas', 'prajurit', 'tni', 'lebih', 'baik', 'prabowo', 'jabat', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['tayang', 'youtube', 'deddy', 'corbuzier', 'dudung', 'abdurachman', 'ban', 'nyata', 'anies', 'baswedan', 'kait', 'paruh', 'prajurit', 'tni', 'tak', 'punya', 'rumah', 'dinas', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'beri', 'nilai', 'banding', 'balik', 'dua', 'capres', 'sebut', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['komandan', 'korem', 'toddopuli', 'brigjen', 'tni', 'sugeng', 'hartono', 'damping', 'ketua', 'sit', 'kck', 'koorcab', 'rem', 'xivhsn', 'endang', 'sugeng', 'hartono', 'serta', 'rombong', 'laksana', 'kunjung', 'kerja', 'kunker', 'kodim', 'layar', 'httpstcofmbczwmv']",HOAX
"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'buka', 'suara', 'beri', 'nilai', 'buat', 'menteri', 'tahan', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['skakmat', 'anies', 'baswedan', 'eks', 'ksad', 'dudung', 'abdurachman', 'nilai', 'prabowo', 'subianto', 'persen', 'rumah', 'tni', 'bagus', 'httpstcoxewxndkkbx', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['ar', 'budionotaslim', 'vivacoid', 'salah', 'baca', 'pasal', 'ayat', 'tni', 'urus', 'kerah', 'kuat', 'bawah', 'presiden', 'bijak', 'strategi', 'administrasi', 'bawah', 'kemenhan', 'jadi', 'wajar', 'tni', 'singgung', 'httpstcouvazwqkfij']",HOAX
"['ken', 'istong', 'cusss', 'cowok', 'jakarta', 'sekitar', 'gay', 'jakarta', 'pijet', 'pijat', 'tni', 'polisi', 'sangeee']",HOAX
"['chanusgmailcom', 'nenkmonica', 'pecat', 'tni', 'maksud']",HOAX
"['personel', 'pomdam', 'vbrw', 'terima', 'arah', 'inspiratif', 'pangdam', 'vbrw', 'httpstcowchhvrr']",HOAX
